Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Scottish,1,0.19,22.96,1.84,0.26,0.5,17.1,0.4,25.92,0.41,28.25,0.2,0.41,0.28,0.03,0.25
Selkup,3.75,0.28,13.52,5.43,8.93,0.05,3.69,0.46,17.72,0.06,1.64,0.04,0.28,43.3,0.65,0.22
Jew,0.43,0.33,9.35,1.7,0.15,0.25,38.89,1.31,5.36,10.18,21.66,6.42,0.62,1.39,0.55,1.41
Jew,0.33,0.23,8.35,0.19,0.65,0.16,41.18,2.27,4.91,11.3,22.95,6.23,0.34,0.48,0.33,0.1
Serbian,0.34,1.04,16.57,0.07,0,0.28,27.31,0.58,24.83,2.22,24.86,0.45,0.24,0.81,0.41,0
Serbian,0.34,0.33,16.04,0.35,0.12,0.38,28.58,0.58,22.35,1.89,26.47,0.62,0.22,1.08,0.21,0.45
She,0.32,0.08,0.91,0.31,0.05,0.37,0.71,0.62,0.26,0.12,0.23,0.27,0.37,11.24,84.05,0.09
Shetlandic,0.41,0.28,22.96,1.83,0.6,0.19,17.06,0.06,26.88,0.06,28.07,0.31,0.42,0.73,0.02,0.13
Shor,4.29,0.08,16.5,6.83,4.91,0.09,6.02,0.63,10.25,0.23,1.08,0.25,0.07,34.94,13.53,0.34
Shugnan,2.58,0.72,15.89,26.98,2.27,0,28.45,0,11.44,1.92,4.43,0,0.52,4.23,0.56,0
Sicilian,0.14,0.46,11.13,0.42,0.49,0.13,37.03,1.08,9.16,6.86,26.94,4.31,0.47,0.29,0.63,0.46
Siddi,0.76,3.2,0.72,17.25,0.51,0.77,5.49,5.99,0.49,1.49,1.26,0.05,0.14,1.38,4.41,56.09
Sindhi,0.89,0.31,7.56,58.86,0.45,0.95,20.99,0.31,1.77,0.66,1.49,0.52,0.67,0.86,3.3,0.41
Slovak,0.64,0.63,18.83,0.76,0.15,0.37,21.67,0.2,29.43,0.56,24.43,0.42,0.39,0.73,0.21,0.57
Slovenian,0.5,0.33,17.4,0.58,0.17,0.14,23.54,0.25,26.34,0.51,25.06,0.92,0.36,1.2,0.47,2.22
Somali,0.15,0.11,0,0.39,0.47,0.35,3.89,57.06,0.43,18.56,1.54,5.24,0.49,0.34,0.18,10.8
Sorb,0.49,0.37,18.91,1.13,0.37,0.14,20.39,0.3,31.01,0,24.81,0.66,0.44,0.59,0.18,0.2
Spanish,0.33,0.48,16.93,0.03,0.41,0.13,19.42,0.34,19.31,2.32,35.3,3.33,0.49,0.36,0.06,0.77
Spanish,0.33,0.28,17.56,0.34,0.21,0.03,16.46,1.12,16.02,1.9,39.18,4.78,0.57,0.64,0.44,0.15
Spanish,0.22,0.36,20.84,0.62,0,0.09,12.82,0.16,16.88,1.18,41.43,3.84,0.43,0.57,0.4,0.15
Spanish,0.24,0.25,17.88,0.49,0.05,0.01,20.35,0.55,16.18,1.94,36.78,2.75,0.79,0.53,0.72,0.48
Spanish,0.43,0.2,15.3,0,0.12,0.37,15.92,1.08,14.78,1.35,34.37,14.11,0.47,0,0.6,0.91
Spanish,0.36,0.35,20.99,0.53,0.32,0.34,11.95,0.56,17.15,0.97,41.46,3.9,0.23,0.13,0.43,0.33
Spanish,0.32,0.08,21.71,0.13,0.39,0.23,13.7,1.36,15.58,2.07,39.48,3.81,0.22,0.34,0.43,0.16
Spanish,0.16,0.31,19.64,0.47,0.59,0.19,13.95,0.36,16.31,1.73,37.83,6.45,0.11,0.59,1.13,0.19
Spanish,0.25,0.32,18.48,0.89,0.89,0.12,16.39,0.2,18.21,0.78,38.5,3.88,0.42,0.34,0.12,0.22
Spanish,0.64,0.18,18.05,0.35,0.17,0.25,16.6,0.55,16.93,2.62,36.75,5.31,0.5,0.32,0.1,0.68
Spanish,0.03,0.49,17.26,0.11,0.61,0.28,15.79,0.89,18.2,2.02,36.95,5.71,0.15,0.21,0.7,0.61
Spanish,1.15,0.22,18.19,0.33,0.19,0.47,15.82,0.49,15.76,1.69,37.87,5.59,0.33,0.07,1.13,0.71
Spanish,0.38,0.07,24.67,0.65,0,0.2,5.31,0.58,17.52,0.8,47.07,1.59,0.12,0.45,0.39,0.19
Spanish,0.32,0.35,18.69,0.34,0.54,0.23,14.68,0.34,17.31,0.93,39.77,4.67,0.77,0.19,0.49,0.39
Srivastava,0.86,0.45,3.68,60.4,1.12,3.45,12.06,0.63,2.83,0.72,0.39,0.64,0.94,1.63,10.2,0
Kumyk,2.76,0,18.03,11.12,0.82,0.7,41.61,0,7.58,1.27,9.75,0.24,0.65,2.09,1.76,1.63
Surui,95.08,0.43,0.37,1.09,0,0.54,0.17,0.83,0,0,0.51,0.04,0,0.24,0.7,0
Swede,1.13,0.19,21.92,0.94,0.08,0.08,16.73,0,30.25,0,25.67,1.02,0.32,1.57,0,0.1
Swiss,0.58,0.41,15.52,1,0.33,0.3,24.79,0.4,18.43,2.46,27.69,2.92,0.63,1.15,0.73,2.66
Syrian,0.38,0.46,5.65,5.66,0.51,0.26,46.76,3.34,1.58,15.69,12.3,4.19,0.8,0.75,0.28,1.39
Jew,0.19,0,8.67,4.03,0,0.33,43.18,2.2,2.55,12.69,18.07,6.17,0.61,1,0,0.3
Tabasaran,0.76,0.17,21.02,12.73,1.19,0.45,45.13,0,9.98,1.3,6.56,0,0,0,0,0.7
Tajik,1.57,0.32,11.79,24.27,2.84,0.08,27.99,0.32,6.74,1.92,6.75,1.27,0.2,6.88,7.05,0
Tajik,2.41,0.3,16.23,27.51,0.77,0.64,29.01,0.1,10.17,0.77,5.42,0.07,0.53,4.19,1.38,0.5
Tajik,1.77,0.49,13.92,23.54,0.91,0.22,29.5,0.23,8.99,1.18,4.99,0.18,0.34,7.44,4.85,1.44
Tajiks,0.91,0.87,11.65,25.81,1.19,0.32,29.25,0.19,4.54,1.08,3.74,0.22,0.51,9.53,9.47,0.72
Tamang,0.74,0.84,0.6,18.26,0,2.32,0,1.09,0.63,0,1.64,0.2,0.91,21.95,50.82,0
Scheduled_Caste,0,0.36,0.56,66.06,0.2,3,11.5,1.18,0,0.53,0,0.35,2.54,1.45,11.22,1.05
Lipka_Tatar,1.85,0.3,11.48,5.19,0.53,0.26,19.2,0.66,19.59,0.7,13.72,0,0.22,13.31,11.76,1.24
Tatars,1.66,0.01,16.5,2.32,2.65,0,18.66,0.28,22.81,1.47,15.26,0,0.55,12.42,5.21,0.21
Thai,0.17,0.22,0.38,13.38,0.4,1.39,0.73,0.47,1.01,0.72,0.87,0.47,1.65,3.83,73.95,0.35
Thakur,1.75,0.71,3.31,62.31,0.86,2.93,12.49,0.56,1.87,2.14,0.38,0.31,1.18,1.51,7.69,0
Tharu,0.76,0.75,4.49,63.35,0.64,2.36,9.84,0.71,1.08,0,0.77,0.25,1.88,1.8,9.86,1.46
Tlingit,19.49,0.12,9.17,0.35,24.28,0,10.93,0.82,20.83,0.01,6.73,0.1,0.26,4.47,2.33,0.13
Tu,0.76,0.35,2.23,2.38,0.28,0.8,2.08,0.33,0.47,0.35,0.66,0.42,0.09,25.58,62.97,0.25
Tubalar,3.15,0.12,33.77,4.73,2.09,0.2,0.3,0.26,2.26,2.38,0.25,0.59,0.18,36.67,12.79,0.26
Tujia,0.15,0.36,0.66,0.26,0.3,0.46,0.78,0.38,0.17,0.24,0.35,0.32,0.09,15.38,79.99,0.11
Tunisian,0.67,0.12,3.14,0.2,0.11,0.31,17.01,6.83,1.48,15.14,14.77,30.78,0.37,0.32,1.08,7.68
Jew,0.23,0.29,2.9,0.27,0.53,0.35,42.21,1.23,2.81,11.28,21.35,14.56,0.72,0.34,0.78,0.15
Turk,0.65,0.36,11.97,3.96,0.71,0.39,42.8,0.37,7.84,3.91,17.24,0.39,0.41,6.19,2.68,0.14
Turk,0.53,0.22,9.67,6.96,0.54,0.37,49.04,1.07,2.84,7.95,13.37,1.84,0.44,3.74,1.03,0.38
Turk,0.89,0.31,11.16,3.13,0.85,0.3,43.83,0.56,5.91,4.52,14.03,1.59,0.62,8.13,3.86,0.31
Turk,0.67,0.02,11.47,3.53,0.69,0.64,42.87,0.21,7.35,3.14,14.54,1.31,0.49,8.54,3.9,0.63
Turk,0.46,0.32,11.86,4.9,1.07,0.27,46.34,0.28,7.79,4,15.3,1.24,0.43,3.37,2.03,0.34
Jew,0.05,0.13,9.34,1.83,0.35,0.1,38.78,2.18,4.8,10.67,22.89,6.7,0.95,0.64,0.33,0.25
Turk,0.8,0.09,10.78,5.05,0.54,0.41,52.13,0.41,2.43,5.94,13.63,1.06,0.44,3.88,1.94,0.47
Turk,0.42,0.32,10.34,1.78,0.58,0.5,66.32,0.2,0.29,2.91,13.67,0.75,0.47,0.7,0.61,0.14
Turkmen,0.97,0.53,10.5,14.97,1.97,0.29,26.2,0.35,7.36,1.56,5.72,0.68,0.31,17.45,10.48,0.67
Turkmen,2.52,0.08,11.04,9.73,2.29,0,22.43,0.85,7.46,2.81,5.3,0.33,0.18,21.93,12.8,0.24
Turkmen,1.89,0.27,11.17,8.97,2.55,0,24.65,0.11,7.53,2.49,4.4,1.5,1.3,20.14,13.03,0
Turkmens,1.08,0.42,11.21,17.15,0.31,0.21,34.29,0.58,5.03,4.1,6.62,0.91,0.2,9.44,7.81,0.63
Tuvinian,2.06,0.23,7.7,3,3.92,0,3.67,0.54,4.62,0,0.85,0.18,0.5,50.06,22.66,0
Udmurd,2.28,0,19.73,5.77,4.31,0.05,16.02,0,23.63,0,9.2,0,0.03,18.58,0,0.4
Ukrainians_east,1.15,0.23,18.49,1.33,0,0.03,20.42,0,33.57,0,21.29,0.31,1.65,1.51,0,0.02
Ukrainians_north,0,0.25,19.5,2.52,0.97,1.32,20.4,0.71,31.75,0,21.83,0.14,0,0.56,0,0.04
Ukrainians_west,0.85,0,17.79,0,0.62,0.08,21.28,0.03,30.84,1.59,23.45,0.38,1.45,1.64,0,0
Ukrainian,0.57,0.74,18.91,0.61,0.28,0.15,21.59,0.3,31,0.48,22.66,0.17,0.16,1.52,0.25,0.62
Ulchi,0.34,0.35,0.04,0.16,11.14,0.25,0.69,0.67,0.29,0.29,0.82,0.46,0.17,56.79,27.51,0.03
Dargin,1.44,0.35,19.53,13.47,1.39,0.44,42.79,0.13,9.76,1.42,6.58,0.04,0.45,1.05,0.25,0.92
Scheduled_Caste,0.34,1.04,2.73,66.68,0.72,3.4,7.03,0.3,1.1,0,0.22,1.4,1.12,2.34,11.09,0.49
Uygur,0,0.52,8.38,14.19,1.17,1.26,17.82,0.07,5.95,0,3.54,0,0,22.94,23.34,0.82
Uygur,1.24,0.06,8.89,12.96,1.99,0.58,18.61,0.19,5.45,0.71,2.75,0.21,0.22,21.98,23.97,0.15
Uzbek,0.86,0.26,10.56,13.56,1.51,0.35,22.35,0.21,7.12,1.92,4.51,0.28,0.3,19.63,15.9,0.7
Uzbek,0.64,0.61,10.39,26.2,0.96,0.14,29.59,0.12,5.16,2.46,3.88,0.48,0.29,9.23,8.94,0.9
Jew,0.7,0.25,9.29,12.7,0.03,0.05,48.01,0.86,1.25,10.33,10.46,3.36,0.94,1.76,0,0
Vaish,0.85,0.74,7.6,55.03,0.24,2.02,14.06,0.79,4.42,0.36,0.92,0.73,1.34,2.92,7.66,0.32
Velama,0.58,0.58,2.1,64.54,0.47,2.71,12.93,0.72,0,0.28,0.04,0.83,2.18,1.21,9.74,1.09
Vepsa,1.46,0.2,18.74,1.23,1.06,0.49,14.55,0.14,35.04,0,18.2,0,0.4,8.49,0,0
Vietnamese,0,0,0.15,4.09,0.32,1.14,0.63,0.32,0.39,0.52,0.05,0.16,1.26,8.26,82.61,0.1
Vietnamese,0,0.12,0,3.59,0.9,0.67,0.83,0.21,0.57,1,0.03,0,1.1,8.83,81.43,0.71
Vietnamese,0,0,0,4.02,1.34,0.58,0,0.11,0,0,0.33,0.32,0.66,7.37,84.78,0.5
Vizayan,0.78,0.25,0,4.27,0.5,2.79,0.53,1,1.52,0.6,0.45,0,4.9,3.94,77.98,0.49
Vysya,0.62,0.81,0.99,65.3,0.76,4.19,7.84,0.54,0,0.62,0.2,1.68,1.9,3.08,11.46,0.01
Welsh,0.32,0.05,19.53,1.03,0.37,0.33,19.15,0.51,25.48,1.05,27.89,1.68,0.77,1.31,0.01,0.52
Greenlander,22.57,0.71,7.35,1.32,42.94,0.3,3.67,0.78,8.68,0.44,6.25,0.61,0.36,3.11,0.87,0.04
Wichi,93.1,0.02,1.13,1.05,2.79,0.42,0,0.21,0.18,0,0.17,0,0.16,0.12,0.64,0
Xibo,0.49,0.35,1.49,0.09,0.51,0.4,2.88,0.36,0.21,0.31,0.18,0.42,0.09,35.64,56.43,0.15
Yaghnobi,1.55,0,14.8,22.06,2.78,0.51,36.24,0,10.82,1,5.97,0,0,2.84,0.77,0.65
Yakut,0.38,0.57,3.44,1.69,2.89,0.75,3.79,0.09,7.29,0,1.12,0,0.43,59.3,18.26,0
Yemeni,0.47,2.46,2.12,4.31,0.08,0.58,27.66,7,0.51,19.44,7.53,5.7,0.61,1.29,0.93,19.32
Jew,0.75,0.18,0.03,0.29,1.01,0.66,40.93,7.08,0.03,32.55,9.23,6.22,0.69,0.05,0.3,0
Yi,0.43,0.25,0.67,2.81,0.51,1.27,0.25,0.72,0,0.4,0.47,0.36,0.02,21.01,70.74,0.09
Yoruba,0.18,0.09,0.55,0.3,0.27,0.24,0.61,0.28,0.19,0.43,0.37,0.46,0.14,0.26,0.56,95.07
Yukaghir,1.5,0.44,5.6,0.49,16.65,0.31,6.76,0.12,10.6,0.2,6.01,0.96,0.25,42.87,6.85,0.4
Forest_Yukaghir,1.27,0.14,12.82,0,7.61,0.97,11.45,0.25,20.12,0,12.96,0,0,27.67,4.73,0
Tundra_Yukaghir,0,0.58,0,1.6,12.63,0.53,1.4,0.9,3.85,0.55,0,0.21,0.46,71.8,5.5,0
Zapotec,91.22,0.41,0.5,0.14,0.49,0.32,1.08,0.99,0.91,0.12,1.07,0.49,0.24,0.75,1.21,0.06
