Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Burusho,1.18,0.32,11.96,50.21,0.65,0.87,18.53,0.28,2.14,0.24,0.65,0.32,0.46,4.48,7.39,0.32
Buryat,0.6,0.55,4.64,1.29,4.2,0.3,3.9,0.36,2.69,0.15,0.67,0.59,0.32,50.46,28.8,0.48
Cachi,89.34,0.2,0.63,0.93,2.2,0.48,1.61,1.3,0.8,0,1.2,0.7,0,0,0.62,0
Cambodian,0.2,0.19,0.12,12.99,1.11,1.82,0.12,0.71,0.68,0.74,1.03,0.27,1.72,1.34,76.45,0.51
Russian,0.75,0,20.73,0,0.52,0,16.38,0.1,31.94,1.62,20.38,0,1.09,4.33,0,2.15
Chamar,0.96,0.53,1.2,68.73,0.52,3.47,2.61,1.37,0.43,0.2,0.51,1.48,1.95,2.2,13.21,0.63
Chechen,1.08,0.2,23.93,6.03,0.57,0.3,54.49,0.05,5.22,0.79,3.93,0.07,0.1,2.27,0.47,0.49
Chenchu,0.24,0.47,0.65,62.1,0.23,3.55,2.4,1.14,0.96,0,1.6,2.17,3.14,3.54,17.49,0.31
Chukchi,13.8,0.53,1.76,0.7,63.01,0.12,1.05,0.98,2.84,0.67,1.07,0.31,0.42,10.98,1.72,0.05
Chuvash,0.38,0.29,17.09,1.42,3.62,0.23,17.07,0.1,30.41,0.51,8.21,0.4,0.13,18.54,1.3,0.29
Circassian,0.37,0.35,15.68,7.74,0.01,0.14,47.1,0.59,6.41,2.38,9.61,0.68,0.85,5,2.98,0.1
Jew,0.56,0.16,1.58,47.88,0.89,1.28,19.95,1.06,0.92,5.31,8.03,3.24,1.58,0.64,6.67,0.25
Colla,90.36,0.31,1.41,0.26,2.28,0.52,1.39,0.57,0.61,0.17,0.79,0.51,0,0,0.81,0
Congo,0.06,40.1,0,0.93,0.11,0.14,0.3,1.65,1.33,0.53,0.25,0,0,0,0,54.61
Corsican,0.38,0.45,13.28,0.24,0.15,0.23,27.34,0.41,14.49,4.66,32.34,3.99,0.46,0.55,0.09,0.93
Cossack,0.26,0.53,16.27,3.49,1.1,0.22,26.01,0.03,27.84,0.49,21.55,0.78,0,1.16,0,0.27
Cossack,0,0,20.17,0.66,2.14,0,19.26,0.28,31.96,0.67,19.73,1.46,0.66,2.38,0.62,0
Croat,0.28,0.53,16.72,0.8,0.23,0.67,26.44,0.19,24.81,1.68,24.7,0.9,0.19,1.42,0.13,0.32
Croat,0.63,0.64,17.8,0.29,0.32,0.1,25.5,0.44,25.71,1.46,24.73,0.75,0.34,0.71,0.23,0.34
Cypriot,0.36,0.21,6.49,0.72,0.1,0.21,50.81,1.7,2.23,11.09,20.82,3.06,0.76,0.87,0.49,0.08
Czech,0.7,0.31,17.74,0.6,0.33,0.27,21.56,0.32,28.46,0.63,24,0.44,0.57,1.24,0.37,2.45
Dai,0.08,0.2,0.19,2.12,0.96,0.43,1.31,0.13,0.8,0.26,0.09,0.16,1.06,1.52,90.19,0.5
Datog,0.37,4.04,0,0.35,0.67,0.06,1.74,53.49,0.66,13.11,1.12,3.94,0.17,0.1,0.93,19.25
Daur,0.43,0.02,1.12,0,1.02,0.41,1.8,0.25,0.39,0.86,0.64,0.57,0.25,44.6,47.44,0.21
Dane,1.21,0.12,19.63,2.5,0.17,0.09,18.68,0.36,26.58,0.94,24.52,0.79,0.91,1.1,0.13,2.28
Dhaka,0.59,0.46,3.16,56.54,0.28,3.04,7.19,0.87,1.66,0,0.15,0,1.87,4.19,19.69,0.31
Dharkar,0.63,0.48,3.56,63.61,0.77,2.58,10.25,0.84,1.96,0.21,0.84,0.59,1.55,1.78,9.59,0.76
Dhurwa,0.58,0.86,0,53.69,0,4.73,0,2.79,0,0,0.82,1.93,3.37,2.08,28.49,0.66
Dolgan,0,0.38,0,0,1.43,0,2.76,0.54,5.2,0,0,0.62,1.52,76.48,11.07,0
Druze,0.32,0.23,3.28,2.41,0.36,0.61,54.73,2.14,3.25,12.66,15.12,3.49,0.41,0.25,0.41,0.33
Dusadh,0.36,0.59,0.85,67.13,0.51,3.03,7.22,0.72,1.12,0,0.56,0.77,1.84,1.91,12.63,0.76
Dusun,0.05,0,0,4.94,0.44,0.33,0.44,0.18,1.03,0.31,0.02,0,3.97,3.11,84.58,0.61
Dutch,0.61,0.13,21.89,0.98,0.34,0.5,19.9,0,27.54,0,26.4,0.22,0.16,0.62,0,0.7
Greenlander,26.39,0.91,3.86,1.05,47.51,0.39,3.2,0.08,6.21,0.88,4.19,0.16,0.23,3.19,1.38,0.38
Egyptian,0.23,0.11,2.97,0.04,0.11,0.48,34.28,11.63,0.49,18.29,11.92,9.36,0.66,0.65,0.6,8.18
